time,ax,ay,az
0.000000000E0,-1.779907227E0,9.358474731E0,2.763870239E0
2.502442000E-3,-1.720046997E0,9.420730591E0,2.790206909E0
5.004883000E-3,-1.741592407E0,9.327362061E0,2.802185059E0
7.507325000E-3,-1.708084106E0,9.207641602E0,2.809371948E0
1.003086600E-2,-1.715255737E0,9.219619751E0,2.835708618E0
1.253330700E-2,-1.717651367E0,9.186096191E0,2.840484619E0
1.502935500E-2,-1.739196777E0,9.145401001E0,2.857254028E0
1.753179600E-2,-1.763137817E0,9.176513672E0,2.826126099E0
2.003423800E-2,-1.796661377E0,9.157363892E0,2.773452759E0
2.253667900E-2,-1.770324707E0,9.233978271E0,2.847671509E0
2.503912000E-2,-1.760757446E0,9.193283081E0,2.857254028E0
2.754156200E-2,-1.779907227E0,9.255523682E0,2.885986328E0
3.004400300E-2,-1.818206787E0,9.327362061E0,2.869216919E0
3.254644500E-2,-1.839752197E0,9.351303101E0,2.864440918E0
3.504888600E-2,-1.851730347E0,9.384811401E0,2.905136108E0
3.755132700E-2,-1.811035156E0,9.411148071E0,2.897949219E0
4.005376900E-2,-1.861312866E0,9.420730591E0,2.852462769E0
4.255621000E-2,-1.894821167E0,9.391998291E0,2.864440918E0
4.505865200E-2,-1.863708496E0,9.420730591E0,2.842880249E0
4.759161100E-2,-1.887649536E0,9.403976440E0,2.902740479E0
5.009405200E-2,-1.918762207E0,9.411148071E0,2.914718628E0
5.259649300E-2,-1.952285767E0,9.391998291E0,2.919494629E0
5.509893500E-2,-1.947494507E0,9.384811401E0,2.897949219E0
5.760137600E-2,-1.981018066E0,9.348907471E0,2.869216919E0
6.010381800E-2,-1.949890137E0,9.375244141E0,2.864440918E0
6.260625900E-2,-1.952285767E0,9.408752441E0,2.883590698E0
6.510870000E-2,-1.973831177E0,9.391998291E0,2.871612549E0
6.761114200E-2,-2.004959106E0,9.425521851E0,2.847671509E0
7.008306600E-2,-1.985809326E0,9.427917480E0,2.900344849E0
7.258550700E-2,-1.949890137E0,9.384811401E0,2.917098999E0
7.508794900E-2,-1.964263916E0,9.401580811E0,2.890762329E0
7.759039000E-2,-1.964263916E0,9.418334961E0,2.847671509E0
8.009283100E-2,-1.937927246E0,9.425521851E0,2.907531738E0
8.259527300E-2,-1.949890137E0,9.389602661E0,2.907531738E0
8.509771400E-2,-1.933135986E0,9.413543701E0,2.878799438E0
8.760015600E-2,-1.892425537E0,9.389602661E0,2.850067139E0
9.010259700E-2,-1.868484497E0,9.339324951E0,2.838104248E0
9.260503800E-2,-1.894821167E0,9.317779541E0,2.840484619E0
9.510748000E-2,-1.909194946E0,9.320175171E0,2.876403809E0
9.760992100E-2,-1.918762207E0,9.336929321E0,2.862045288E0
1.000818450E-1,-1.902008057E0,9.332138062E0,2.790206909E0
1.026148040E-1,-1.930740356E0,9.324966431E0,2.780639648E0
1.051172450E-1,-1.870880127E0,9.336929321E0,2.816543579E0
1.076196870E-1,-1.890029907E0,9.291442871E0,2.821334839E0
1.101221280E-1,-1.904403687E0,9.332138062E0,2.756698608E0
1.126245700E-1,-1.894821167E0,9.310592651E0,2.730361938E0
1.151270110E-1,-1.849334717E0,9.305801392E0,2.756698608E0
1.176294520E-1,-1.849334717E0,9.274688721E0,2.826126099E0
1.201318940E-1,-1.854125977E0,9.277084351E0,2.854858398E0
1.226343350E-1,-1.880462646E0,9.324966431E0,2.821334839E0
1.251367770E-1,-1.892425537E0,9.329742432E0,2.821334839E0
1.276392180E-1,-1.916366577E0,9.322570801E0,2.766265869E0
1.301416590E-1,-1.913986206E0,9.332138062E0,2.763870239E0
1.326441010E-1,-1.930740356E0,9.344116211E0,2.766265869E0
1.351465420E-1,-1.925949097E0,9.406356812E0,2.785430908E0
1.376489840E-1,-1.923553467E0,9.384811401E0,2.833312988E0
1.401514250E-1,-1.887649536E0,9.420730591E0,2.802185059E0
1.426538660E-1,-1.913986206E0,9.482971191E0,2.814147949E0
1.451563080E-1,-1.928344727E0,9.425521851E0,2.785430908E0
1.476587490E-1,-1.966644287E0,9.466217041E0,2.771057129E0
1.501611910E-1,-1.947494507E0,9.466217041E0,2.802185059E0
1.526636320E-1,-1.935531616E0,9.411148071E0,2.797393799E0
1.551660740E-1,-1.947494507E0,9.403976440E0,2.823730469E0
1.576685150E-1,-1.954681396E0,9.396789551E0,2.818939209E0
1.601709560E-1,-1.952285767E0,9.401580811E0,2.826126099E0
1.626733980E-1,-1.952285767E0,9.401580811E0,2.826126099E0
1.651758390E-1,-1.978622437E0,9.375244141E0,2.802185059E0
1.676782810E-1,-1.969039917E0,9.394393921E0,2.794998169E0
1.701807220E-1,-1.928344727E0,9.423126221E0,2.799789429E0
1.726526460E-1,-1.940322876E0,9.444671631E0,2.749511719E0
1.751550870E-1,-1.945098877E0,9.442276001E0,2.775848389E0
1.776575290E-1,-1.928344727E0,9.499740601E0,2.775848389E0
1.801599700E-1,-1.887649536E0,9.528472900E0,2.754302979E0
1.826624110E-1,-1.873275757E0,9.559585571E0,2.763870239E0
1.851648530E-1,-1.906799316E0,9.564376831E0,2.711196899E0
1.876672940E-1,-1.892425537E0,9.557205200E0,2.720779419E0
1.901697360E-1,-1.868484497E0,9.571563721E0,2.687255859E0
1.926721770E-1,-1.849334717E0,9.581146240E0,2.644165039E0
1.951746180E-1,-1.897216797E0,9.542831421E0,2.656143188E0
1.976770600E-1,-1.904403687E0,9.535644531E0,2.656143188E0
2.001795010E-1,-1.916366577E0,9.528472900E0,2.706420898E0
2.026819430E-1,-1.909194946E0,9.511703491E0,2.715988159E0
2.051843840E-1,-1.947494507E0,9.530868530E0,2.742324829E0
2.076868250E-1,-1.942703247E0,9.514099121E0,2.756698608E0
2.101892670E-1,-1.942703247E0,9.482971191E0,2.778244019E0
2.126917080E-1,-1.937927246E0,9.473403931E0,2.715988159E0
2.151941500E-1,-1.957077026E0,9.514099121E0,2.720779419E0
2.176965910E-1,-1.952285767E0,9.497344971E0,2.704025269E0
2.201685150E-1,-1.947494507E0,9.463821411E0,2.677688599E0
2.226709560E-1,-1.940322876E0,9.480590820E0,2.692047119E0
2.252039150E-1,-1.923553467E0,9.449462891E0,2.625015259E0
2.277063570E-1,-1.882858276E0,9.480590820E0,2.598678589E0
2.302087980E-1,-1.904403687E0,9.475799561E0,2.641769409E0
2.327112400E-1,-1.925949097E0,9.485366821E0,2.648956299E0
2.352136810E-1,-1.894821167E0,9.497344971E0,2.615432739E0
2.377161220E-1,-1.940322876E0,9.459030151E0,2.648956299E0
2.402185640E-1,-1.992980957E0,9.447067261E0,2.596282959E0
2.427210050E-1,-1.973831177E0,9.451858521E0,2.572341919E0
2.452234470E-1,-1.961868286E0,9.451858521E0,2.581924438E0
2.477258880E-1,-1.925949097E0,9.451858521E0,2.615432739E0
2.502283290E-1,-1.942703247E0,9.415939331E0,2.641769409E0
2.527307710E-1,-1.925949097E0,9.420730591E0,2.596282959E0
2.552332120E-1,-1.942703247E0,9.415939331E0,2.598678589E0
2.577356540E-1,-1.957077026E0,9.384811401E0,2.613037109E0
