time,mx,my,mz
2.033941300E-2,1.136169434E1,-4.037475586E1,8.430480957E0
2.961675700E-2,1.136169434E1,-4.157409668E1,7.231140137E0
3.956548800E-2,1.346130371E1,-4.352416992E1,7.380676270E0
4.957525300E-2,1.226196289E1,-4.127349854E1,5.281066895E0
5.952398400E-2,1.226196289E1,-4.127349854E1,7.080078125E0
6.950323200E-2,1.121215820E1,-3.992462158E1,8.129882812E0
7.948248000E-2,1.211242676E1,-4.232482910E1,5.731201172E0
8.946172800E-2,1.301269531E1,-4.127349854E1,6.781005859E0
9.944097600E-2,1.061248779E1,-4.157409668E1,4.679870605E0
1.094202240E-1,1.151123047E1,-4.172363281E1,5.580139160E0
1.193994720E-1,1.271209717E1,-4.172363281E1,6.330871582E0
1.293787200E-1,1.181182861E1,-4.187469482E1,6.930541992E0
1.393579680E-1,1.151123047E1,-4.172363281E1,7.080078125E0
1.493372160E-1,1.196136475E1,-4.202423096E1,6.330871582E0
1.593164640E-1,1.226196289E1,-4.172363281E1,6.781005859E0
1.693262300E-1,1.226196289E1,-4.097442627E1,7.380676270E0
1.792749600E-1,1.301269531E1,-4.247436523E1,7.380676270E0
1.892542080E-1,1.091156006E1,-4.172363281E1,7.080078125E0
1.992334560E-1,1.196136475E1,-4.277343750E1,7.830810547E0
2.091821870E-1,1.106262207E1,-4.157409668E1,8.430480957E0
2.199243740E-1,1.181182861E1,-4.367370605E1,6.930541992E0
2.292017180E-1,1.121215820E1,-4.172363281E1,7.080078125E0
2.391809660E-1,1.181182861E1,-4.232482910E1,7.231140137E0
2.491296970E-1,1.016235352E1,-4.202423096E1,8.580017090E0
2.591089450E-1,1.031188965E1,-4.262390137E1,7.679748535E0
2.691187100E-1,1.091156006E1,-4.172363281E1,7.380676270E0
2.790674410E-1,1.196136475E1,-4.127349854E1,7.080078125E0
2.890466890E-1,1.121215820E1,-4.202423096E1,7.830810547E0
2.990564540E-1,1.106262207E1,-4.157409668E1,9.030151367E0
3.090051850E-1,9.562683105E0,-4.337463379E1,1.053009033E1
3.189844330E-1,1.061248779E1,-4.112396240E1,7.980346680E0
3.289941990E-1,1.181182861E1,-4.262390137E1,8.731079102E0
3.389429290E-1,1.001129150E1,-4.412384033E1,7.679748535E0
3.489221770E-1,8.811950684E0,-4.232482910E1,9.480285645E0
3.589014250E-1,1.001129150E1,-4.187469482E1,6.930541992E0
3.689111910E-1,1.001129150E1,-4.262390137E1,1.157989502E1
3.789514740E-1,8.811950684E0,-4.262390137E1,9.480285645E0
3.889307220E-1,1.016235352E1,-4.202423096E1,9.629821777E0
3.989404880E-1,9.712219238E0,-4.277343750E1,9.930419922E0
4.089502530E-1,9.712219238E0,-4.247436523E1,9.629821777E0
4.189295010E-1,9.262084961E0,-4.307403564E1,1.053009033E1
4.289392670E-1,9.411621094E0,-4.247436523E1,8.880615234E0
